R,G,B,Is Plant
245,235,52,False
12,196,30,True
73,152,230,False
81,143,77,True
175,85,229,False
90,227,20,True
71,62,252,False
198,161,103,False
124,125,29,True
101,205,21,True
229,179,165,False
39,31,43,False
126,113,215,False
179,220,191,True
11,74,191,False
60,240,112,True
182,91,176,False
161,198,121,True
6,247,41,True
163,43,106,False
168,143,159,False
108,29,126,False
235,81,44,False
239,27,190,False
160,219,202,True
81,231,154,True
31,18,19,False
127,10,193,False
212,1,215,False
133,73,142,False
165,159,181,False
101,142,73,True
212,92,174,False
181,124,251,False
18,123,234,False
111,53,131,False
7,188,1,True
247,157,9,False
99,254,207,True
2,121,149,False
250,178,193,False
148,86,35,False
117,133,199,False
166,0,201,False
45,146,100,True
143,82,37,False
96,165,212,False
55,140,255,False
208,233,207,True
119,243,54,True
204,129,175,False
71,45,14,False
38,42,14,True
208,33,127,False
178,255,70,True
18,235,251,False
97,243,124,True
217,83,88,False
170,215,1,True
18,249,50,True
235,173,77,False
7,34,195,False
21,45,173,False
17,179,122,True
39,187,196,False
24,26,254,False
226,44,166,False
117,180,152,True
112,11,237,False
90,16,196,False
221,250,88,True
107,87,30,False
13,34,50,False
229,156,55,False
167,22,31,False
50,119,197,False
255,247,196,False
149,45,226,False
223,235,195,True
165,21,39,False
34,97,143,False
195,6,150,False
122,222,89,True
175,238,198,True
189,252,187,True
102,198,218,False
152,98,189,False
44,165,63,True
198,198,175,False
120,177,170,True
135,197,255,False
37,190,251,False
208,68,203,False
80,174,20,True
19,135,129,True
204,111,91,False
230,92,137,False
198,240,180,True
78,246,132,True
79,175,38,True
70,1,20,False
30,148,11,True
178,191,21,True
220,168,240,False
8,32,217,False
76,148,130,True
48,5,167,False
246,96,239,False
138,182,2,True
215,247,189,True
250,210,163,False
20,207,195,True
128,102,109,False
103,204,4,True
38,126,18,True
221,66,126,False
69,92,126,False
25,71,211,False
107,245,67,True
14,20,38,False
192,72,61,False
59,52,168,False
167,46,208,False
151,232,250,False
197,214,92,True
36,128,142,False
160,22,71,False
182,226,186,True
105,102,211,False
47,6,211,False
73,19,58,False
7,124,223,False
176,40,60,False
104,248,147,True
52,148,222,False
151,65,149,False
118,109,42,True
216,247,250,False
148,140,50,False
166,65,163,False
167,144,174,False
165,137,131,False
128,107,61,False
68,25,92,False
36,24,212,False
118,224,165,True
184,133,220,False
47,187,51,True
61,6,4,False
99,133,179,False
124,253,60,True
85,127,47,True
253,133,174,False
53,252,95,True
114,151,8,True
156,65,82,False
228,147,96,False
227,40,132,False
6,57,190,False
115,124,51,True
157,226,89,True
197,34,125,False
125,212,226,False
153,17,8,False
193,137,121,False
184,188,143,True
151,113,17,False
248,54,177,False
208,87,41,False
195,181,134,False
129,88,226,False
217,173,184,False
214,129,109,False
168,132,255,False
4,206,3,True
158,156,172,False
32,52,150,False
232,254,254,False
109,235,241,False
227,40,73,False
98,66,89,False
68,223,251,False
33,68,1,True
121,85,182,False
84,251,226,True
31,210,188,True
245,202,147,False
157,197,227,False
127,42,22,False
211,160,75,False
115,45,106,False
137,85,23,False
58,165,219,False
219,204,35,False
254,247,117,False
100,153,47,True
176,129,234,False
232,221,189,False
86,27,211,False
175,117,81,False
244,98,250,False
158,70,245,False
28,115,48,True
42,52,156,False
22,218,36,True
213,9,51,False
32,152,200,False
89,75,29,False
239,79,171,False
202,104,156,False
216,4,185,False
193,146,62,False
241,40,240,False
253,194,112,False
159,145,79,False
56,120,157,False
70,87,141,False
41,9,76,False
203,190,224,False
71,19,177,False
158,17,190,False
199,251,184,True
230,52,14,False
160,67,59,False
19,225,108,True
74,133,134,False
76,72,146,False
59,42,69,False
210,134,222,False
235,82,194,False
40,243,133,True
198,164,103,False
224,165,104,False
151,64,235,False
150,244,196,True
188,22,151,False
126,178,122,True
94,0,159,False
22,87,25,True
228,173,12,False
50,12,224,False
251,74,211,False
28,175,105,True
218,21,105,False
63,165,87,True
90,39,26,False
156,124,27,False
159,147,231,False
46,4,147,False
241,214,111,False
138,150,188,False
219,68,12,False
236,17,107,False
30,245,33,True
113,55,198,False
134,6,156,False
223,152,111,False
23,63,77,False
249,202,55,False
108,162,223,False
55,178,192,False
58,22,85,False
184,122,233,False
189,178,158,False
184,65,94,False
88,48,179,False
214,16,192,False
20,166,202,False
63,14,78,False
216,75,97,False
245,209,37,False
110,59,152,False
171,202,30,True
13,240,144,True
184,246,208,True
84,117,43,True
245,225,65,False
236,119,133,False
217,75,3,False
200,35,149,False
107,68,168,False
193,50,139,False
129,113,1,False
91,202,167,True
14,127,141,False
159,184,39,True
138,223,1,True
162,75,77,False
146,47,82,False
215,45,250,False
134,244,84,True
179,57,224,False
218,41,51,False
203,62,63,False
171,66,221,False
59,239,116,True
186,163,217,False
73,103,238,False
12,43,240,False
42,13,112,False
238,229,128,False
82,236,0,True
34,157,96,True
85,140,137,True
113,8,137,False
245,78,183,False
214,178,209,False
11,135,28,True
43,64,199,False
120,55,172,False
32,85,183,False
30,0,183,False
195,252,212,True
26,253,159,True
101,124,104,True
61,144,92,True
248,251,80,True
73,146,20,True
16,40,78,False
118,246,175,True
248,50,71,False
139,185,5,True
50,0,49,False
12,95,143,False
158,6,105,False
168,37,242,False
6,130,247,False
148,108,65,False
86,40,192,False
241,208,46,False
10,180,216,False
226,24,31,False
68,236,200,True
114,49,153,False
254,46,173,False
239,93,38,False
130,0,3,False
252,163,233,False
87,101,2,True
199,15,152,False
160,62,136,False
73,185,254,False
245,153,126,False
82,55,172,False
168,196,124,True
193,213,177,True
99,211,214,False
85,65,93,False
253,211,93,False
109,26,132,False
8,222,204,True
6,138,246,False
26,41,118,False
7,63,23,True
251,227,18,False
119,220,14,True
251,98,66,False
111,87,121,False
165,45,221,False
54,120,155,False
37,198,219,False
224,44,240,False
70,10,67,False
171,245,29,True
241,10,109,False
38,137,122,True
233,89,29,False
59,179,75,True
208,166,153,False
86,173,250,False
79,164,166,False
112,189,194,False
63,237,89,True
16,105,109,False
169,114,63,False
238,72,28,False
29,234,203,True
76,183,203,False
20,161,21,True
239,237,8,False
77,243,211,True
55,221,174,True
206,94,217,False
16,132,80,True
67,76,121,False
254,162,171,False
101,76,2,False
129,1,170,False
73,142,48,True
185,132,116,False
135,163,184,False
237,156,3,False
154,144,6,False
154,74,68,False
116,172,145,True
82,32,98,False
110,121,49,True
114,190,6,True
125,142,189,False
56,248,48,True
193,232,156,True
247,153,8,False
244,137,61,False
65,204,167,True
251,217,44,False
245,235,219,False
226,63,223,False
224,108,202,False
103,99,109,False
199,103,177,False
31,61,21,True
142,150,40,True
9,169,41,True
90,142,90,True
95,239,64,True
201,243,45,True
100,226,206,True
218,89,90,False
4,221,58,True
130,212,110,True
89,153,88,True
59,228,144,True
231,161,244,False
206,207,50,True
101,114,192,False
9,125,194,False
188,242,115,True
131,10,57,False
153,82,183,False
230,41,204,False
228,157,207,False
60,181,15,True
203,154,24,False
91,45,146,False
242,162,209,False
191,247,248,False
133,69,36,False
60,12,182,False
189,224,119,True
95,216,206,True
178,106,20,False
105,235,125,True
103,147,248,False
102,47,169,False
209,65,249,False
98,221,86,True
24,29,219,False
216,182,61,False
56,37,128,False
106,217,132,True
26,154,80,True
40,242,61,True
26,219,221,False
247,227,173,False
4,39,103,False
191,193,103,True
0,32,88,False
122,151,220,False
37,246,21,True
193,116,21,False
88,144,46,True
153,240,75,True
250,79,120,False
140,229,75,True
96,135,122,True
35,65,46,True
195,78,5,False
170,196,84,True
198,190,150,False
227,155,70,False
179,117,137,False
177,206,7,True
24,81,165,False
32,13,140,False
230,174,54,False
155,100,38,False
169,166,206,False
176,152,136,False
219,43,160,False
199,172,131,False
49,177,36,True
3,201,172,True
199,221,58,True
34,141,119,True
154,8,136,False
90,9,93,False
119,83,181,False
213,138,86,False
169,64,8,False
61,181,17,True
10,141,226,False
27,96,154,False
224,74,250,False
178,139,149,False
196,22,6,False
34,190,162,True
247,0,165,False
107,30,137,False
239,251,136,True
190,90,126,False
137,249,27,True
2,119,101,True
78,244,11,True
143,132,98,False
7,129,108,True
171,32,163,False
5,62,41,True
192,61,111,False
116,124,213,False
182,122,246,False
203,123,189,False
217,150,210,False
20,64,164,False
87,235,169,True
55,63,107,False
207,145,64,False
169,236,144,True
128,203,72,True
236,13,188,False
249,54,79,False
195,111,32,False
128,14,18,False
155,46,234,False
219,116,0,False
161,0,72,False
89,53,17,False
42,193,3,True
242,246,1,True
14,235,20,True
179,239,150,True
61,155,249,False
255,79,234,False
206,183,199,False
222,87,16,False
227,235,207,True
67,47,55,False
71,192,72,True
224,229,122,True
110,93,173,False
152,0,201,False
165,109,90,False
208,250,139,True
231,67,126,False
253,74,33,False
63,101,106,False
50,172,132,True
106,101,223,False
178,168,9,False
86,5,107,False
129,250,16,True
51,27,236,False
139,239,29,True
133,114,127,False
107,177,20,True
109,89,169,False
175,115,165,False
168,182,196,False
138,192,51,True
189,100,135,False
88,227,35,True
35,13,136,False
166,224,167,True
191,173,55,False
107,112,146,False
22,56,220,False
237,122,19,False
251,191,235,False
176,28,201,False
94,45,51,False
46,81,252,False
219,170,169,False
42,63,28,True
125,129,123,True
193,178,0,False
100,116,248,False
230,139,25,False
226,202,103,False
154,8,231,False
90,42,204,False
72,28,75,False
215,69,166,False
107,114,65,True
188,198,11,True
248,131,99,False
59,228,13,True
73,168,49,True
144,4,234,False
80,35,28,False
55,54,191,False
219,255,211,True
39,222,156,True
188,106,107,False
55,16,90,False
7,131,231,False
230,93,119,False
174,126,186,False
7,34,98,False
53,175,193,False
155,136,235,False
63,190,127,True
111,176,219,False
119,60,71,False
190,135,108,False
159,72,195,False
215,105,191,False
201,240,66,True
252,50,103,False
64,43,250,False
2,144,203,False
231,205,46,False
139,186,160,True
104,84,28,False
1,242,151,True
170,159,46,False
248,1,148,False
45,18,185,False
67,28,212,False
216,31,140,False
182,79,79,False
140,221,205,True
252,26,163,False
51,126,193,False
83,128,203,False
51,159,175,False
38,145,158,False
68,144,189,False
34,27,245,False
253,123,183,False
22,246,166,True
211,203,101,False
33,79,213,False
73,166,191,False
198,194,190,False
0,208,54,True
50,217,12,True
109,239,157,True
56,67,183,False
136,38,38,False
224,219,239,False
120,27,71,False
106,223,234,False
117,85,164,False
243,175,114,False
225,237,79,True
133,94,112,False
112,154,248,False
15,240,86,True
102,65,239,False
42,162,139,True
32,139,32,True
155,107,138,False
240,13,40,False
90,229,253,False
136,214,28,True
139,98,109,False
181,250,196,True
245,5,212,False
13,154,36,True
223,213,20,False
126,32,74,False
231,126,229,False
42,113,184,False
222,143,230,False
100,100,253,False
52,88,3,True
245,252,209,True
63,116,81,True
54,156,121,True
209,173,186,False
128,69,37,False
182,203,78,True
176,147,137,False
182,137,249,False
193,244,53,True
148,228,19,True
81,200,82,True
123,19,74,False
114,173,147,True
185,191,1,True
170,105,59,False
161,196,231,False
43,199,191,True
4,96,189,False
175,79,35,False
6,215,174,True
220,137,157,False
153,100,208,False
186,208,169,True
241,112,63,False
38,128,13,True
25,75,120,False
106,113,153,False
51,128,252,False
222,185,230,False
179,213,217,False
169,204,158,True
213,166,167,False
91,54,198,False
78,7,76,False
0,66,71,False
77,208,44,True
117,31,126,False
178,21,203,False
19,57,120,False
119,25,130,False
245,158,51,False
138,89,114,False
174,18,193,False
253,70,148,False
199,70,233,False
95,103,237,False
107,106,210,False
205,167,61,False
20,205,2,True
80,52,215,False
122,195,12,True
240,62,192,False
228,93,47,False
173,11,247,False
220,123,48,False
85,117,204,False
61,26,38,False
1,196,85,True
104,47,238,False
73,161,229,False
194,165,253,False
9,176,96,True
122,208,70,True
120,179,67,True
125,115,113,True
154,108,159,False
8,156,228,False
14,12,101,False
31,109,72,True
97,216,124,True
146,154,240,False
48,203,9,True
254,176,14,False
216,215,10,False
187,204,231,False
100,187,7,True
68,96,21,True
119,65,72,False
33,228,153,True
85,82,14,True
130,26,109,False
113,78,136,False
226,11,174,False
163,14,12,False
40,182,106,True
200,53,180,False
66,242,90,True
0,228,138,True
91,0,87,False
32,85,38,True
108,38,201,False
20,18,172,False
236,212,243,False
112,59,56,False
52,78,144,False
213,162,191,False
167,12,200,False
223,81,107,False
85,143,162,False
97,213,66,True
146,229,68,True
203,215,209,True
20,139,28,True
15,15,72,False
243,228,182,False
122,129,144,False
174,144,182,False
37,121,92,True
68,211,138,True
179,115,226,False
3,229,92,True
42,69,185,False
244,187,9,False
70,41,130,False
72,117,143,False
132,134,135,False
207,169,236,False
18,231,36,True
185,54,123,False
19,125,4,True
168,182,9,True
246,48,138,False
190,94,159,False
11,176,202,False
37,177,47,True
42,177,87,True
193,80,241,False
206,251,191,True
244,203,250,False
54,138,178,False
68,150,165,False
85,221,30,True
45,228,3,True
197,227,189,True
92,27,250,False
120,150,23,True
30,78,166,False
111,134,24,True
252,12,186,False
133,34,42,False
181,128,65,False
122,212,108,True
57,222,226,False
86,1,58,False
10,215,9,True
141,201,244,False
90,88,148,False
90,63,191,False
23,226,2,True
76,230,86,True
92,66,187,False
43,56,209,False
191,12,175,False
198,137,35,False
195,249,13,True
208,179,220,False
61,132,166,False
113,243,231,True
225,116,46,False
111,67,241,False
42,113,109,True
65,137,211,False
2,4,96,False
228,64,82,False
107,139,136,True
25,169,6,True
67,64,111,False
206,241,236,True
21,247,132,True
72,173,46,True
84,94,242,False
201,219,220,False
172,105,111,False
178,7,119,False
182,135,112,False
102,2,149,False
170,166,137,False
35,14,241,False
176,237,166,True
193,11,9,False
137,193,154,True
99,209,18,True
170,63,181,False
13,153,222,False
79,101,69,True
241,126,22,False
22,138,196,False
222,194,225,False
93,226,195,True
188,156,72,False
132,33,52,False
31,169,171,False
129,18,33,False
22,80,105,False
56,168,149,True
204,223,94,True
154,143,246,False
36,73,155,False
159,63,69,False
251,4,115,False
176,115,129,False
195,201,123,True
233,194,178,False
14,223,214,True
105,197,33,True
152,64,155,False
26,26,76,False
108,60,218,False
144,250,91,True
172,27,135,False
189,127,114,False
25,119,136,False
193,255,14,True
240,55,212,False
90,74,212,False
1,146,12,True
72,223,104,True
228,107,213,False
218,215,7,False
189,250,109,True
21,176,209,False
18,35,124,False
135,15,59,False
150,178,81,True
112,63,253,False
129,8,123,False
194,86,232,False
99,27,39,False
10,54,58,False
17,237,213,True
232,176,82,False
62,39,77,False
220,21,76,False
22,180,250,False
68,183,218,False
145,99,116,False
148,223,55,True
33,100,145,False
149,170,94,True
220,62,219,False
88,169,161,True
221,85,187,False
177,24,213,False
185,162,8,False
83,69,25,False
85,70,111,False
81,162,26,True
108,38,227,False
15,140,164,False
197,153,201,False
255,253,136,False
250,57,215,False
108,246,116,True
204,141,186,False
228,79,206,False
170,104,93,False
186,91,104,False
113,96,244,False
94,169,171,False
196,195,173,False
229,223,134,False
120,108,78,False
246,123,48,False
214,42,26,False
196,109,31,False
115,101,246,False
18,15,100,False
0,101,86,True
149,232,221,True
208,196,10,False
148,150,227,False
14,49,161,False
166,95,7,False
27,224,192,True
9,59,161,False
171,73,50,False
128,157,174,False
115,71,232,False
204,213,52,True
129,182,8,True
231,125,4,False
86,8,129,False
169,233,149,True
77,135,181,False
7,212,90,True
243,167,153,False
47,185,211,False
150,226,37,True
134,125,43,False
0,171,240,False
210,124,80,False
97,64,77,False
82,92,192,False
103,255,99,True
183,33,0,False
24,109,114,False
159,78,131,False
147,128,127,False
251,53,166,False
43,245,117,True
122,112,24,True
220,148,2,False
93,181,189,False
213,39,210,False
66,67,66,True
40,22,79,False
50,41,114,False
166,202,224,False
16,7,192,False
144,215,79,True
230,11,155,False
236,192,207,False
91,124,93,True
105,215,94,True
168,162,212,False
152,140,11,False
91,112,92,True
199,28,133,False
24,160,223,False
115,163,207,False
1,142,7,True
5,179,27,True
192,24,60,False
222,178,217,False
244,244,170,False
198,90,226,False
71,207,221,False
101,60,86,False
180,172,115,False
42,67,97,False
208,147,186,False
17,131,62,True
35,10,133,False
14,139,176,False
38,239,255,False
24,8,16,False
42,30,215,False
253,174,210,False
55,59,147,False
104,80,137,False
3,183,178,True
116,104,91,False
140,198,103,True
76,104,117,False
185,64,193,False
109,231,68,True
31,48,9,True
148,252,98,True
136,152,47,True
73,220,213,True
245,5,89,False
71,18,213,False
36,122,19,True
72,145,92,True
6,22,170,False
138,23,134,False
136,234,34,True
252,100,238,False
152,181,93,True
128,43,202,False
85,118,38,True
14,252,250,True
125,199,111,True
130,240,245,False
131,49,171,False
136,14,165,False
169,228,8,True
175,36,205,False
223,224,160,True
182,214,64,True
152,100,254,False
71,157,183,False
156,164,23,True
151,217,18,True
147,177,103,True
85,231,197,True
101,112,252,False
211,96,76,False
68,30,185,False
111,115,130,False
122,44,71,False
182,172,177,False
171,39,187,False
43,194,163,True
225,133,201,False
166,197,130,True
143,4,71,False
78,217,152,True
203,26,198,False
134,86,215,False
113,70,86,False
220,148,229,False
108,177,152,True
10,66,230,False
52,20,121,False
32,212,81,True
71,13,106,False
130,84,10,False
76,153,54,True
22,93,149,False
161,239,174,True
225,169,115,False
247,185,246,False
179,217,148,True
92,113,69,True
176,148,181,False
24,211,109,True
192,34,230,False
110,113,151,False
51,147,189,False
50,132,161,False
35,210,107,True
174,93,106,False
246,209,222,False
151,228,209,True
183,211,175,True
208,87,7,False
177,33,239,False
223,181,146,False
60,247,56,True
28,49,128,False
252,21,32,False
111,38,42,False
140,93,245,False
119,22,181,False
153,33,122,False
247,3,114,False
167,83,204,False
130,157,213,False
68,132,54,True
230,55,196,False
49,100,165,False
146,124,108,False
213,83,166,False
154,144,145,False
147,130,255,False
7,246,110,True
110,214,249,False
39,56,220,False
231,200,92,False
232,254,181,True
193,230,71,True
230,255,157,True
190,229,58,True
227,1,57,False
116,82,62,False
211,208,21,False
158,124,222,False
167,232,206,True
63,162,238,False
242,126,78,False
3,173,107,True
198,130,104,False
239,199,150,False
153,53,97,False
76,84,38,True
163,95,247,False
213,151,105,False
168,87,181,False
22,163,48,True
51,89,156,False
68,139,5,True
40,168,189,False
15,29,218,False
242,50,144,False
213,191,138,False
108,161,217,False
227,34,35,False
28,215,117,True
70,182,223,False
203,131,244,False
2,62,149,False
164,108,152,False
159,27,127,False
12,66,0,True
83,182,226,False
158,73,91,False
238,206,181,False
77,251,26,True
25,90,77,True
240,71,46,False
10,245,170,True
226,250,117,True
93,171,139,True
254,234,62,False
13,199,44,True
240,54,211,False
54,193,245,False
2,106,33,True
189,84,162,False
105,75,198,False
222,77,110,False
252,208,63,False
72,229,96,True
214,42,117,False
152,62,100,False
97,60,39,False
13,117,40,True
53,140,231,False
162,253,54,True
159,152,117,False
130,180,228,False
20,24,123,False
26,216,197,True
229,143,171,False
142,71,87,False
33,161,164,False
169,75,240,False
51,2,119,False
205,220,198,True
238,25,62,False
21,252,110,True
107,213,21,True
34,86,48,True
187,16,218,False
48,166,167,False
123,135,30,True
47,141,250,False
140,160,212,False
51,148,117,True
130,70,20,False
15,213,217,False
167,32,53,False
4,228,26,True
142,213,121,True
17,54,5,True
79,216,145,True
184,195,158,True
59,81,134,False
82,59,160,False
204,2,6,False
100,235,164,True
20,108,4,True
89,106,180,False
27,18,162,False
145,133,56,False
150,150,201,False
70,8,197,False
116,211,204,True
27,158,9,True
39,92,132,False
139,76,132,False
130,184,183,True
116,89,208,False
115,82,90,False
31,182,238,False
178,93,241,False
1,56,128,False
164,96,61,False
44,212,143,True
71,222,118,True
163,73,172,False
146,0,13,False
179,211,219,False
85,182,97,True
195,144,163,False
74,173,128,True
250,121,161,False
193,191,234,False
57,166,98,True
108,83,181,False
46,238,226,True
142,194,16,True
178,77,189,False
54,105,57,True
15,185,176,True
247,158,120,False
178,155,163,False
144,179,1,True
116,73,209,False
108,230,174,True
154,22,127,False
22,69,113,False
131,114,92,False
52,142,65,True
45,91,237,False
9,246,67,True
61,237,31,True
115,135,33,True
46,36,240,False
208,210,147,True
149,196,161,True
89,198,192,True
155,18,11,False
220,83,34,False
111,226,108,True
118,119,158,False
126,177,161,True
230,132,26,False
234,249,204,True
41,255,29,True
94,225,209,True
53,182,234,False
70,11,226,False
149,197,7,True
92,194,52,True
64,132,130,True
43,17,226,False
71,154,233,False
116,105,27,False
167,75,93,False
119,191,3,True
222,37,152,False
64,117,214,False
105,60,109,False
36,121,120,True
121,222,221,True
31,216,47,True
24,168,16,True
104,246,93,True
64,48,152,False
95,23,200,False
136,180,206,False
210,84,39,False
39,202,115,True
205,97,66,False
16,168,3,True
148,223,221,True
153,86,118,False
53,209,59,True
19,90,195,False
161,220,211,True
15,253,249,True
44,222,114,True
156,138,229,False
141,213,166,True
193,177,111,False
151,114,168,False
55,90,34,True
98,123,113,True
67,233,157,True
149,169,196,False
113,222,174,True
159,174,188,False
146,127,144,False
232,125,74,False
187,10,218,False
68,9,248,False
111,226,121,True
135,94,157,False
96,223,228,False
119,37,8,False
108,153,8,True
4,208,118,True
147,248,21,True
113,147,32,True
11,88,135,False
127,240,96,True
71,55,199,False
199,238,229,True
128,45,91,False
222,217,171,False
175,119,92,False
250,187,35,False
55,21,43,False
210,111,129,False
118,28,224,False
51,94,113,False
182,132,148,False
47,165,25,True
187,218,29,True
67,191,79,True
67,127,180,False
185,20,140,False
32,202,118,True
32,87,47,True
43,151,8,True
117,112,135,False
154,2,134,False
233,76,137,False
32,254,3,True
235,188,88,False
201,236,9,True
37,209,210,False
38,39,21,True
178,121,54,False
167,252,143,True
248,119,16,False
104,117,30,True
193,174,5,False
235,102,98,False
232,108,61,False
125,208,159,True
83,11,245,False
231,58,249,False
144,248,148,True
248,117,173,False
98,151,112,True
136,86,80,False
91,160,225,False
235,174,99,False
30,220,86,True
44,79,217,False
231,32,156,False
216,142,175,False
92,158,127,True
221,149,166,False
208,100,200,False
20,13,46,False
1,251,91,True
184,13,122,False
119,144,30,True
29,137,3,True
202,122,178,False
212,42,7,False
161,57,226,False
211,197,145,False
152,212,5,True
44,7,50,False
9,203,235,False
60,241,138,True
40,157,32,True
78,137,70,True
146,55,57,False
216,144,151,False
141,72,22,False
154,232,67,True
136,83,130,False
202,226,57,True
18,141,95,True
180,54,7,False
206,210,143,True
47,141,27,True
248,250,81,True
216,144,114,False
182,107,120,False
173,113,155,False
118,230,135,True
238,225,153,False
8,253,147,True
75,109,217,False
107,234,80,True
149,249,182,True
60,222,100,True
162,190,209,False
155,23,97,False
149,153,171,False
208,212,169,True
196,95,250,False
55,0,89,False
127,51,224,False
6,79,82,False
193,71,48,False
231,39,156,False
250,51,163,False
90,243,239,True
193,255,215,True
108,183,57,True
5,174,172,True
141,115,21,False
112,44,76,False
117,51,140,False
28,120,126,False
213,177,41,False
102,78,84,False
122,223,227,False
96,254,161,True
236,7,172,False
156,121,44,False
172,232,16,True
86,89,196,False
245,151,19,False
168,133,56,False
249,167,0,False
76,229,49,True
66,49,152,False
49,25,188,False
49,182,153,True
53,51,108,False
40,135,252,False
235,143,112,False
107,23,194,False
155,95,137,False
133,97,133,False
66,247,109,True
166,173,159,True
103,218,67,True
235,153,53,False
121,50,109,False
127,177,144,True
71,5,65,False
203,3,171,False
108,145,190,False
52,111,233,False
43,213,104,True
83,228,127,True
67,166,109,True
44,102,73,True
185,173,106,False
159,234,75,True
171,152,50,False
63,54,208,False
158,182,51,True
77,113,190,False
206,185,0,False
166,13,114,False
8,246,120,True
93,20,138,False
202,197,180,False
130,168,141,True
33,244,17,True
39,104,108,False
10,88,19,True
189,103,193,False
105,141,247,False
56,14,195,False
97,154,85,True
131,187,0,True
44,249,2,True
232,208,71,False
231,143,192,False
27,194,79,True
198,160,251,False
69,125,183,False
203,81,9,False
99,129,146,False
194,100,17,False
209,67,115,False
42,117,241,False
83,139,181,False
185,52,89,False
225,118,166,False
17,46,129,False
159,67,53,False
118,43,76,False
132,20,72,False
252,19,171,False
195,92,200,False
